ايميل الشريك,اسم المقهى,نوع الفعالية,نوع الأدب,المنطقة الادراية,المدينة,تصنيف المبادرة,عنوان الفعالية,وصف الفعالية,تاريخ البداية,وقت البداية,تاريخ النهاية,وقت النهاية,اسم الضيف,التوثيق
aminh@nawatcoffee.com,مقهى نواة,جلسة حوارية,النثر الغير خيالي,عسير,ابها,فعالية,شذرات ثقافية بالشراكة مع نادي وجود الثقافي,شذراتٌ ثقافيةٌ مٌستقاة من ثقافة بلد يشدُ لها الرحال ،والتعرف على المستنير في المجتمع وماهية دوره بالشراكة مع نادي وجود.,03/25/2024,8:00م,03/25/2024,10:00م,ايمان محمد إبراهيم,https://drive.google.com/drive/folders/11WHLIDjx6KNZSFXZewz22mNcTubg3Qdp?usp=drive_link
aminh@nawatcoffee.com,مقهى نواة,جلسة حوارية,النثر الغير خيالي,عسير,ابها,فعالية,تدشين كتاب مساحات من الود,"بَين دَفتَي "" مِساحَات مِن اَلوِد "" نصوص ادبية نثرية أتت بَعد خوض تَجارِب أَخذَت وقتًا لِتنضج ؛ كتبهَا د . علي السحاري بِأسلوب أَخوِي ومليء بِالودِّ .",04/19/2024,8:00م,04/19/2024,10:00م,علي احمد السحاري,https://drive.google.com/drive/folders/12-UFjEYwgp0gNlUtgoLbh1z2x9MvXtC_
aminh@nawatcoffee.com,مقهى نواة,جلسة حوارية,النثر الغير خيالي,عسير,ابها,فعالية,"مساهمة خارجية | بالشراكة مع كود لاب , مساحة إلهام جامعة الملك خالد , مساحة لتسخير التقنية للقراء",سَطتْ التقنية على كافة الأصعدة و حتى على صعيد القِراءة؛ فابتكر التقنيون سُبلاً لتسخير التقنية للقُراء حتى يَزخْر من حُظوظ ْازدهار النتاج الأدبي والثقافي.,10/30/2023,8:00م,10/30/2023,10:00م,ريما عبدالعزيز,https://drive.google.com/drive/folders/12KMP9p6Avt_SRp9tU2xz1bDhyhyddMe0?usp=drive_link
aminh@nawatcoffee.com,مقهى نواة,-,-,عسير,ابها,مساهمة,مساهمة,مساهمة أدبية | طباعة بنر فية شعار الشريك الأدبي و qr للوصول لرزنامة الفعاليات,10/4/2023,8:00م,10/4/2023,10:00م,,https://drive.google.com/drive/folders/12aK6hjKcxF10xVp5nb7U4QRS5nr1ucZM?usp=drive_link
aminh@nawatcoffee.com,مقهى نواة,-,-,عسير,ابها,مساهمة,مساهمة,مساهمة أدبية | طباعة كرت بتصميم مميز لتقديمة مع توزيعات القهوة | فيه عبارة ادبية مقتبسة و qr للوصول للفعاليات,10/14/2023,8:00م,10/14/2023,10:00م,,https://drive.google.com/drive/folders/12aK6hjKcxF10xVp5nb7U4QRS5nr1ucZM?usp=drive_link
aminh@nawatcoffee.com,مقهى نواة,-,-,عسير,ابها,مساهمة,مساهمة أديبة,مساهمة أدبية | تقديم شهادة شكر و تقديرمطبوعة عدد 55 لجميع الاطفال لحضور فعالية الحكواتي الصغير لغاية تحفيزهم,10/28/2023,8:00م,10/28/2023,10:00م,,https://drive.google.com/drive/folders/12aK6hjKcxF10xVp5nb7U4QRS5nr1ucZM?usp=drive_link
root@callofculture.com,مقهى نوق,شعر,نبطي,مكة المكرمة,جدة,فعالية,واجه جانبك المظلم,مناقشة الفصل التاسع من كتاب قوانين الطبيعة البشرية للكاتب روبرت غريب,9/2/2023,8:00م,9/2/2023,10:00م,مالك عطار,https://drive.google.com/drive/folders/1OrETh2YTkWI2_0WR0YSe0OD5CPzmZvmf?usp=drive_link
root@callofculture.com,مقهى نوق,جلسة حوارية,النثر الغير خيالي,مكة المكرمة,جدة,فعالية,الصالون الثقافي: إدارة المنظومة العقلية,كيف تكتشف الأفكار المقيدة وكيف تتخلص منها,09/20/2023,8:00م,09/20/2023,10:00م,د.عبدالله هادي,https://drive.google.com/drive/folders/1A53gLosrnfcshi8uryTdFNn9P3P05fhR?usp=sharing
root@callofculture.com,مقهى نوق,جلسة حوارية,الشعر,مكة المكرمة,جدة,فعالية,وجهان لعملة واحدة .. الحب,عرض لقصائد من اصدارات ادبية سابقة للادبيات الهام بكر و د.ايمان اشقر. حوار شعري تبادل قصائد عن الحب بكل مفارقاته,01/15/2024,8:00م,01/15/2024,10:00م,د.ايمان مناجي اشقر,https://drive.google.com/drive/folders/1AbFrDNSqfddUcDnB7zBO-30Khn-VDy08?usp=drive_link
root@callofculture.com,مقهى نوق,جلسة حوارية,النثر الغير خيالي,مكة المكرمة,جدة,فعالية,"منقاش كتاب ""قوة الآن"" للكاتب اكهارت تول",جلسة نقاش مع أحمد شوك تناقشه رباب حجار حول قوة الأن في تغير الفكر الأدبي والتغيير الشخصي.,02/16/2024,8:00م,02/16/2024,10:00م,رباب حجار,https://drive.google.com/drive/folders/14lVwj3Q6InjsZSIgOBlPPTsuhPmyYQQ7?usp=drive_link
root@callofculture.com,مقهى نوق,جلسة حوارية,النثر الغير خيالي,مكة المكرمة,جدة,فعالية,نقاش كتاب عبور قصة رحلة مع الصبر,قصة مستوحاة من أحداث حقيقية، يحكي فيها الكاتب رحلة صبر والدين أبطال أثناء إصابة إبنهما بمرض السرطان.,10/17/2023,8:00م,10/17/2023,10:00م,الكاتب أحمد مشرف,https://drive.google.com/drive/folders/1cGqFwGThG622oLP5sLPflyICS8JmRwTr?usp=drive_link
root@callofculture.com,مقهى نوق,جلسة حوارية,النثر الغير خيالي,مكة المكرمة,جدة,فعالية,الخيال العلمي المعتق بالفلسفة,"ورشة الكتابة الإبداعية الأولى : الخيال العلمي المعتق بالفلسفة
يتم التدريب على: كتابة قصص الخيال العلمي - أشكال وتقنيات القصص القصيرة - تقنيات قصص الخيال العلمي فلسفة الخيال العلمي
ينتج عن مجموعة الورش كتاب قصصي يضم أعمال المشاركين المختارة",10/12/2023,8:00م,10/12/2023,10:00م,د. أمال السفياني,https://drive.google.com/drive/folders/1YqWtuDjQ8Q9PnW3_6Xti9OMn7mkSOk3y?usp=drive_link
aghuwainem@outlook.com,مقهى هود,-,-,الرياض,الرياض,مساهمة,أدبيات اللغة اليابانية,,09/18/2023,8:00م,09/18/2023,10:00م,,التوثيق
hevan1444@gmail.com,مقهى هيفان,-,-,عسير,محايل,مساهمة,مساهمه اجاويد وفوازير هيفان رمضانية ثقافية,مساهمات اجتماعية لنشر الوعي والثقافة والتعريف بالشريك الادبي,03/30/2024,8:00م,03/30/2024,10:00م,,https://drive.google.com/drive/folders/11mcyhDMDY6j91Xm1MFGCBXCpIBFxi5gc?usp=drive_link
hevan1444@gmail.com,مقهى هيفان,-,-,عسير,محايل,مساهمة,الملتقى المهني وثقافة العمل الحر,مساهمات اجتماعية لنشر الوعي والتعريف بالشريك الادبي,11/28/2023,8:00م,11/28/2023,10:00م,مقهى هيفان,https://drive.google.com/drive/folders/1wu6hfCggtTuFWYI3cUwTwOAC8Ymag1u9?usp=drive_link
hevan1444@gmail.com,مقهى هيفان,-,-,عسير,محايل,مساهمة,مساهمه مع بلدية محايل عسير,مساهمات اجتماعية لنشر الوعي والتعريف بالشريك الادبي,02/25/2024,8:00م,02/25/2024,10:00م,,https://drive.google.com/drive/folders/10n1-mg_2eW4BOFK3DrS0selxADT6GBq4?usp=drive_link
hevan1444@gmail.com,مقهى هيفان,جلسة حوارية,النثر الغير خيالي,عسير,محايل,فعالية,تأثير الادب علي الصحة النفسية,ندوه وحوار عن تاثير الادب,9/10/2023,8:00م,9/10/2023,10:00م,محمد الناشري,https://drive.google.com/drive/folders/1ooIdqy3byxCL4GxoS__7a3kIOAGYTCfw
hevan1444@gmail.com,مقهى هيفان,-,-,عسير,محايل,مساهمة,"اليوم العالمي للقهوة , تعاون مع جميعة جستر للتربية الخاصه باليوم الوطني , معرض القهوة والشوكلاتة",مساهمات اجتماعية لنشر الوعي والتعريف بالشريك الادبي,09/28/2023,8:00م,09/28/2023,10:00م,,https://drive.google.com/drive/folders/1DtuW7AZBLDtNYxkpN89Q0Ila4nD92q5X?usp=drive_link
hevan1444@gmail.com,مقهى هيفان,-,-,عسير,محايل,مساهمة,"أكتوبر الوردي , دوري كرة قدم , يوم المعلم , كلية التقنية لبنات",مساهمات اجتماعية لنشر الوعي والتعريف بالشريك الادبي,10/29/2023,8:00م,10/29/2023,10:00م,-,https://drive.google.com/drive/folders/1sLoqfV6WR1xYpuQdqbEtTcPGbun_nkzB?usp=drive_link
info@shrqcoffee.com,مقهى و محمصة شرق ,شعر,نبطي,المنطقة الشرقية,الخبر,فعالية,قد شغفها حبا,بقصائد شعرية ومراجة لدواوين ونظرة في أدب الرحلة مع الدكتور الخضير,09/30/2023,8:00م,09/30/2023,10:00م,د. عبدالله الخضير,https://drive.google.com/file/d/1-neLFqBtMfZiar92XOyB-oXVBhbEfpHu
info@shrqcoffee.com,مقهى و محمصة شرق ,-,-,المنطقة الشرقية,الخبر,مساهمة,معرض الكتاب لقاءات وحوارات,مساهمة من مقهى شرق في معرض الكتاب ولقاءات مع كتاب ومثقفين,10/5/2023,8:00م,10/5/2023,10:00م,خالد بن حلبي,https://drive.google.com/drive/folders/10Ac_o8BZYb6Gl9ahcgwtZKURJFu7amFi
info@shrqcoffee.com,مقهى و محمصة شرق ,شعر,نبطي,المنطقة الشرقية,الخبر,فعالية,أمسية شعرية إنشادية وطنية,قصائد مغناة في حب الوطن ومشاركات من طلاب الجامعة,10/1/2023,8:00م,10/1/2023,10:00م,ياسر العجيلي وعلي الزهراني,https://drive.google.com/drive/folders/11QvlqXPuwo9foed-FJ66FWSK-6DsQePj
info@shrqcoffee.com,مقهى و محمصة شرق ,شعر,نبطي,المنطقة الشرقية,الخبر,فعالية,تدشين كتاب القهوة في الحبر,تدشين وتوقيع ومناقشة كتاب القهوة للمؤلف علي الديواني مع المهتمين وأصحاب المقاهي المختصة .,11/10/2023,8:00م,11/10/2023,10:00م,أ.علي الديواني,التوثيق
info@shrqcoffee.com,مقهى و محمصة شرق ,شعر,نبطي,المنطقة الشرقية,الخبر,فعالية,حوارات أدبية قانونية,حوارات في أدب العدالة والقانون,03/23/2024,8:00م,03/23/2024,10:00م,منيرة المنصور / تغريد حدادي,https://drive.google.com/drive/folders/1-qndVhxwYDiGs-WyLmuLBhgpju25cBNS
wathbah.cafe.books@gmail.com,مقهى وثبة,جلسة حوارية,النثر الغير خيالي,الرياض,الرياض,فعالية,مناقشة رواية روزهالده,مناقشة رواية روزهالده,02/29/2024,8:00م,02/29/2024,10:00م,هيلة السعودي,https://drive.google.com/drive/folders/1Kx0DECIU6rLPg7FKFTk03b6_6QsZtSnY?usp=drive_link
randa.s.h01@hotmail.com,مقهى يو بيوتي,جلسة حوارية,النثر الغير خيالي,مكة المكرمة,جدة,فعالية,"سلسلة حكايات "" صندوق الحكايات"" (9)","فعالية من ضمن سلسلة فعاليات شهرية للاطفال للتعرف على الاختلاف وتقبل الاختلافات 
",2/3/2024,8:00م,2/3/2024,10:00م,أ.غدي العمري ,https://drive.google.com/drive/folders/1qT9eL-gJe7QEBuCtULAgwn4wF29t_4Di
